"Open","High","Low","Close","Volume","Adjusted","date"
3.73,3.79,3.72,3.77,48477500,3.39132,"2014-01-07"
3.77,3.84,3.76,3.8,47952000,3.4183,"2014-01-08"
3.78,3.83,3.77,3.79,39753200,3.40931,"2014-01-09"
3.78,3.81,3.77,3.8,37357200,3.4183,"2014-01-10"
3.81,3.84,3.8,3.82,44518700,3.43629,"2014-01-13"
3.82,3.83,3.77,3.79,55034200,3.40931,"2014-01-14"
3.79,3.8,3.74,3.76,39736400,3.38232,"2014-01-15"
3.76,3.78,3.73,3.76,37814000,3.38232,"2014-01-16"
3.75,3.76,3.71,3.72,44992400,3.34634,"2014-01-17"
3.73,3.73,3.7,3.72,32265900,3.34634,"2014-01-20"
3.72,3.75,3.71,3.73,33321300,3.35533,"2014-01-21"
3.73,3.79,3.72,3.78,53780400,3.40031,"2014-01-22"
3.77,3.77,3.74,3.74,33085400,3.36433,"2014-01-23"
3.73,3.77,3.72,3.74,46876600,3.36433,"2014-01-24"
3.73,3.76,3.72,3.75,90916700,3.37332,"2014-01-27"
3.76,3.82,3.75,3.8,71124800,3.4183,"2014-01-28"
3.81,3.82,3.79,3.8,32012100,3.4183,"2014-01-29"
3.8,3.81,3.78,3.78,26525000,3.40031,"2014-01-30"
3.78,3.78,3.78,3.78,0,3.40031,"2014-01-31"
3.78,3.78,3.78,3.78,0,3.40031,"2014-02-03"
3.78,3.78,3.78,3.78,0,3.40031,"2014-02-05"
3.78,3.78,3.78,3.78,0,3.40031,"2014-02-06"
3.77,3.77,3.73,3.77,35350200,3.39132,"2014-02-07"
3.78,3.81,3.77,3.8,65539000,3.4183,"2014-02-10"
3.81,3.91,3.8,3.87,130768600,3.48127,"2014-02-11"
3.86,3.93,3.85,3.88,74340100,3.49027,"2014-02-12"
3.87,3.98,3.85,3.92,117624100,3.52625,"2014-02-13"
3.91,3.93,3.89,3.9,50428600,3.50826,"2014-02-14"
3.92,3.93,3.88,3.89,50578500,3.49926,"2014-02-17"
3.89,3.9,3.82,3.83,47238900,3.44529,"2014-02-18"
3.83,3.95,3.81,3.92,89208500,3.52625,"2014-02-19"
3.91,4.02,3.89,3.9,92178200,3.50826,"2014-02-20"
3.9,3.92,3.84,3.86,50811400,3.47228,"2014-02-21"
3.84,3.84,3.76,3.79,100610800,3.40931,"2014-02-24"
3.8,3.82,3.76,3.78,52877900,3.40031,"2014-02-25"
3.76,3.79,3.74,3.77,37262700,3.39132,"2014-02-26"
3.75,3.82,3.74,3.8,75112700,3.4183,"2014-02-27"
3.78,3.81,3.75,3.79,51510600,3.40931,"2014-02-28"
3.77,3.78,3.74,3.76,66013200,3.38232,"2014-03-03"
3.75,3.76,3.71,3.76,56782900,3.38232,"2014-03-04"
3.75,3.76,3.71,3.72,43951700,3.34634,"2014-03-05"
3.72,3.75,3.7,3.73,49919100,3.35533,"2014-03-06"
3.73,3.76,3.7,3.71,43874000,3.33734,"2014-03-07"
3.69,3.7,3.62,3.64,69157700,3.27437,"2014-03-10"
3.63,3.67,3.62,3.63,47821000,3.26538,"2014-03-11"
3.63,3.67,3.59,3.64,65225200,3.27437,"2014-03-12"
3.66,3.78,3.65,3.7,89483200,3.32835,"2014-03-13"
3.67,3.7,3.63,3.65,52148400,3.28337,"2014-03-14"
3.67,3.68,3.65,3.67,29287100,3.30136,"2014-03-17"
3.67,3.68,3.65,3.66,33024300,3.29236,"2014-03-18"
3.65,3.66,3.62,3.65,31832500,3.28337,"2014-03-19"
